"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2018 22:00:00 - 09/01/2018 23:00:00","BZN|CH","Without Sequence","49.13","",""
"09/01/2018 23:00:00 - 10/01/2018 00:00:00","BZN|CH","Without Sequence","44.04","",""
"10/01/2018 00:00:00 - 10/01/2018 01:00:00","BZN|CH","Without Sequence","40.08","",""
"10/01/2018 01:00:00 - 10/01/2018 02:00:00","BZN|CH","Without Sequence","38.30","",""
"10/01/2018 02:00:00 - 10/01/2018 03:00:00","BZN|CH","Without Sequence","36.37","",""
"10/01/2018 03:00:00 - 10/01/2018 04:00:00","BZN|CH","Without Sequence","35.55","",""
"10/01/2018 04:00:00 - 10/01/2018 05:00:00","BZN|CH","Without Sequence","35.76","",""
"10/01/2018 05:00:00 - 10/01/2018 06:00:00","BZN|CH","Without Sequence","39.46","",""
"10/01/2018 06:00:00 - 10/01/2018 07:00:00","BZN|CH","Without Sequence","49.51","",""
"10/01/2018 07:00:00 - 10/01/2018 08:00:00","BZN|CH","Without Sequence","52.15","",""
"10/01/2018 08:00:00 - 10/01/2018 09:00:00","BZN|CH","Without Sequence","52.02","",""
"10/01/2018 09:00:00 - 10/01/2018 10:00:00","BZN|CH","Without Sequence","50.81","",""
"10/01/2018 10:00:00 - 10/01/2018 11:00:00","BZN|CH","Without Sequence","50.60","",""
"10/01/2018 11:00:00 - 10/01/2018 12:00:00","BZN|CH","Without Sequence","51.53","",""
"10/01/2018 12:00:00 - 10/01/2018 13:00:00","BZN|CH","Without Sequence","50.75","",""
"10/01/2018 13:00:00 - 10/01/2018 14:00:00","BZN|CH","Without Sequence","49.92","",""
"10/01/2018 14:00:00 - 10/01/2018 15:00:00","BZN|CH","Without Sequence","49.61","",""
"10/01/2018 15:00:00 - 10/01/2018 16:00:00","BZN|CH","Without Sequence","50.96","",""
"10/01/2018 16:00:00 - 10/01/2018 17:00:00","BZN|CH","Without Sequence","52.43","",""
"10/01/2018 17:00:00 - 10/01/2018 18:00:00","BZN|CH","Without Sequence","55.02","",""
"10/01/2018 18:00:00 - 10/01/2018 19:00:00","BZN|CH","Without Sequence","55.30","",""
"10/01/2018 19:00:00 - 10/01/2018 20:00:00","BZN|CH","Without Sequence","52.95","",""
"10/01/2018 20:00:00 - 10/01/2018 21:00:00","BZN|CH","Without Sequence","50.10","",""
"10/01/2018 21:00:00 - 10/01/2018 22:00:00","BZN|CH","Without Sequence","44.69","",""
"10/01/2018 22:00:00 - 10/01/2018 23:00:00","BZN|CH","Without Sequence","44.24","",""
"10/01/2018 23:00:00 - 11/01/2018 00:00:00","BZN|CH","Without Sequence","40.64","",""
"11/01/2018 00:00:00 - 11/01/2018 01:00:00","BZN|CH","Without Sequence","41.12","",""
"11/01/2018 01:00:00 - 11/01/2018 02:00:00","BZN|CH","Without Sequence","39.55","",""
"11/01/2018 02:00:00 - 11/01/2018 03:00:00","BZN|CH","Without Sequence","38.10","",""
"11/01/2018 03:00:00 - 11/01/2018 04:00:00","BZN|CH","Without Sequence","37.99","",""
"11/01/2018 04:00:00 - 11/01/2018 05:00:00","BZN|CH","Without Sequence","37.61","",""
"11/01/2018 05:00:00 - 11/01/2018 06:00:00","BZN|CH","Without Sequence","39.88","",""
"11/01/2018 06:00:00 - 11/01/2018 07:00:00","BZN|CH","Without Sequence","48.78","",""
"11/01/2018 07:00:00 - 11/01/2018 08:00:00","BZN|CH","Without Sequence","53.58","",""
"11/01/2018 08:00:00 - 11/01/2018 09:00:00","BZN|CH","Without Sequence","56.40","",""
"11/01/2018 09:00:00 - 11/01/2018 10:00:00","BZN|CH","Without Sequence","56.48","",""
"11/01/2018 10:00:00 - 11/01/2018 11:00:00","BZN|CH","Without Sequence","56.47","",""
"11/01/2018 11:00:00 - 11/01/2018 12:00:00","BZN|CH","Without Sequence","56.05","",""
