"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|NL","Without Sequence","210.34","",""
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|NL","Without Sequence","202.42","",""
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|NL","Without Sequence","197.60","",""
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|NL","Without Sequence","193.00","",""
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|NL","Without Sequence","194.90","",""
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|NL","Without Sequence","204.45","",""
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|NL","Without Sequence","191.30","",""
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|NL","Without Sequence","208.00","",""
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|NL","Without Sequence","240.70","",""
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|NL","Without Sequence","297.16","",""
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|NL","Without Sequence","277.02","",""
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","BZN|NL","Without Sequence","230.80","",""
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","BZN|NL","Without Sequence","213.50","",""
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","BZN|NL","Without Sequence","239.90","",""
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","BZN|NL","Without Sequence","255.01","",""
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","BZN|NL","Without Sequence","277.90","",""
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","BZN|NL","Without Sequence","289.94","",""
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","BZN|NL","Without Sequence","316.40","",""
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","BZN|NL","Without Sequence","315.90","",""
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","BZN|NL","Without Sequence","309.20","",""
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","BZN|NL","Without Sequence","285.33","",""
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","BZN|NL","Without Sequence","238.20","",""
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","BZN|NL","Without Sequence","202.40","",""
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","BZN|NL","Without Sequence","190.10","",""
"12/01/2022 00:00:00 - 12/01/2022 01:00:00","BZN|NL","Without Sequence","196.65","",""
"12/01/2022 01:00:00 - 12/01/2022 02:00:00","BZN|NL","Without Sequence","187.10","",""
"12/01/2022 02:00:00 - 12/01/2022 03:00:00","BZN|NL","Without Sequence","184.27","",""
"12/01/2022 03:00:00 - 12/01/2022 04:00:00","BZN|NL","Without Sequence","179.58","",""
"12/01/2022 04:00:00 - 12/01/2022 05:00:00","BZN|NL","Without Sequence","178.33","",""
"12/01/2022 05:00:00 - 12/01/2022 06:00:00","BZN|NL","Without Sequence","193.50","",""
"12/01/2022 06:00:00 - 12/01/2022 07:00:00","BZN|NL","Without Sequence","181.20","",""
